Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Bank,Bank Index,URCALL,RPT1CALL,RPT2CALL
1,VE3FOY,147.285000,+,0.600000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,,,
2,VA3PLA,147.180000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
3,VE3BNI,146.610000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,,
4,VE3UCR,145.430000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
5,146550,146.550000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
6,146580,146.580000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,,
