Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,ISS,145.800000,split,437.800000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
2,ISSRPT,437.800000,split,145.990000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
3,ISSPKT,145.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,OCEPKT,145.030000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,ALTPKT,144.990000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
