Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
70,M68A,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,M69A,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,M70A,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,M71A,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,M72A,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,M73A,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
76,M74A,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,M75A,156.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,M76A,156.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
79,M77A,156.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,M78A,156.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,M78B,161.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,M79A,156.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,M79B,161.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,M80A,157.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,M80B,161.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,M81A,157.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,M81B,161.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,M82A,157.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,M82B,161.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,M83A,157.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,M83B,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,WX9,,,,
92,M84A,157.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,M84B,161.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,M85A,157.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,M85B,161.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,M86A,157.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,M86B,161.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
98,M87A,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
99,M87B,161.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,AIS1,,,,
100,M88A,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,M88B,162.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,AIS2,,,,
102,M96B,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,WX4/P2,,,,
103,M97B,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,WX3/P4,,,,
104,M98B,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,WX7/P6,,,,
105,M113B,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,WX10,,,,
