Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
32,M15B,161.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
33,M16A,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
34,M16B,161.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
35,M17A,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,M17B,161.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
37,M18A,156.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
38,M18B,161.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,M19A,156.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
40,M19B,161.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
41,M20A,157.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,M20B,161.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,M21A,157.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,M21B,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
45,M22A,157.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
46,M22B,161.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
47,M23A,157.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
48,M23B,161.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
49,M24A,157.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
50,M24B,161.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
51,M25A,157.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
52,M25B,161.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
53,M26A,157.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
54,M26B,161.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
55,M27A,157.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
56,M27B,161.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
57,M28A,157.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
58,M28B,162.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
59,M60A,156.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
60,M60B,160.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
61,M61A,156.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
62,M61B,160.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
63,M62A,156.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
64,M62B,160.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
65,M63A,156.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
