Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Skip,Step,Bank,Bank Channel Number,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign
36,135.1500,135.15,000 kHz,Simplex,AM,Arrrival,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
37,127.7000,127.7,000 kHz,Simplex,AM,Ground,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
38,124.2750,124.275,000 kHz,Simplex,AM,Montreal,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
39,134.9750,134.975,000 kHz,Simplex,AM,Montreal,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
40,122.3000,122.3,000 kHz,Simplex,AM,FISYOW,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
41,131.0750,131.075,000 kHz,Simplex,AM,Worlld,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
42,131.1000,131.1,000 kHz,Simplex,AM,AirCanad,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
43,131.6750,131.675,000 kHz,Simplex,AM,WestJet,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,,,,,
44,460.2125,460.2125,000 kHz,Simplex,FM,AirCanad,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
45,461.4125,461.4125,000 kHz,Simplex,FM,AirCanad,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
46,410.4625,410.4625,000 kHz,Simplex,FM,AirprtOP,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
47,154.6800,154.68,000 kHz,Simplex,FM,PerthAid,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
48,158.4300,158.43,000 kHz,Simplex,FM,Perth,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
49,410.1125,410.1125,000 kHz,Simplex,FM,Perth,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
50,164.6800,164.68,000 kHz,Simplex,FM,Pworks,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
51,154.9050,154.905,000 kHz,Simplex,FM,R Fire,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
52,153.8150,153.815,000 kHz,Simplex,FM,Lanark F,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
53,150.5300,150.53,000 kHz,Simplex,FM,County F,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
54,419.0375,419.0375,000 kHz,Simplex,FM,Fire,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
55,414.1125,414.1125,000 kHz,Simplex,FM,Ont Fire,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
56,169.3650,169.365,000 kHz,Simplex,FM,LC Roads,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
57,151.1000,151.1,000 kHz,Simplex,FM,Perth BY,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
58,162.2700,162.27,000 kHz,Simplex,FM,Perth Tw,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,Off,0,,,
59,169.5300,169.53,000 kHz,Simplex,FM,PerthPW,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
60,153.8150,153.815,000 kHz,Simplex,FM,Almonte fire,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
61,162.0900,162.09,000 kHz,Simplex,FM,Missi,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,Off,0,,,
62,167.2650,167.265,000 kHz,Simplex,FM,Drummond,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
63,413.5375,413.5375,000 kHz,Simplex,FM,Carlton,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
64,142.3050,142.305,000 kHz,Simplex,FM,Smith F,None,88.5 Hz,88.5 Hz,23,Both N,Off,12.5 kHz, ,,,Off,0,,,
65,146.9400,146.34,600 kHz,#NAME?,FM,CARP,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz, ,,,Off,0,,,
66,144.3900,144.39,000 kHz,Simplex,FM,APRS 39,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz, ,,,Off,0,,,
67,147.0600,146.46,600 kHz,#NAME?,FM,VE3STP MT St Pat,Tone,114.8 Hz,88.5 Hz,23,Both N,Off,5 kHz,A: ,,,Off,0,,,
68,147.2700,147.87,600 kHz,#NAME?,FM,VA3WJC Almonte,Tone,100.0 Hz,88.5 Hz,23,Both N,Off,5 kHz,A: ,,,Off,0,,,
69,146.6400,146.04,600 kHz,#NAME?,FM,VE3KJG  Lavant,Tone,151.4 Hz,88.5 Hz,23,Both N,Off,5 kHz,A: ,,,Off,0,,,
70,444.3000,449.3,5.00 MHz,#NAME?,FM,VA3ARE Fire Hall,Tone,100.0 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,Off,0,,,
71,122.8000,122.8,000 kHz,Simplex,AM,UNICOM,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz,B: ,,,,,,,
72,127.7700,127.77,000 kHz,Simplex,AM,YOWTMA,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz,B: ,,,,,,,
73,128.1750,128.175,000 kHz,Simplex,AM,YOWDEP,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz,B: ,,,,,,,
74,118.8000,118.8,000 kHz,Simplex,AM,TOWTWR,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz,B: ,,,,,,,
75,135.1500,135.15,000 kHz,Simplex,AM,TOWAAR,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz,B: ,,,,,,,
76,153.8150,153.815,000 kHz,Simplex,FM,LC FIRE,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz,C: ,,,Off,0,,,
77,151.1650,151.165,000 kHz,Simplex,FM,AGH,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,C: ,,,Off,0,,,
78,163.1550,163.155,000 kHz,Simplex,FM,LA ROAD,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,C: ,,,Off,0,,,
79,152.0900,152.09,000 kHz,Simplex,FM,MM ROAD,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,C: ,,,Off,0,,,
