Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3MPC,147.150000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
2,UE3MPC,444.400000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,12.50,S,,,,
3,VE3TWO,147.300000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
4,UE3TWO,444.200000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,12.50,S,,,,
5,VE3ORF,146.850000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
6,UE3ORF,444.550000,+,5.000000,TSQL,151.4,151.4,023,NN,FM,12.50,S,,,,
7,VE3TST,146.700000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,
8,VE3TEL,147.030000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,
9,VA3LCC,146.790000,-,0.600000,TSQL,156.7,156.7,023,NN,FM,5.00,S,,,,
