Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3GWS,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,Perth,,,
2,VE3ARE,147.270000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,Almonte,,,
3,U-VA3AAR,444.300000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,S,,Almonte,,,
