Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
43,VE3WPR,147.000000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,VA3PLA,147.180000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
45,VE3RTR-1,145.150000,-,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,S,,,,,
46,VE3RTR-2,146.895000,-,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,S,,,,,
47,VE3MXR,444.975000,+,5.000000,Tone,162.2,162.2,023,NN,FM,6.25,S,,,,,
48,146580,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
49,146550,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
50,146520,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
51,146415,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,146430,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,146445,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,146460,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
55,146475,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,146490,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,146505,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,CALL2M,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
59,146535,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,146550,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,146565,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,146580,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,146595,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,147420,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,147450,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,147480,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,147510,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,147540,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,147570,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,CALL70,446.000000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
71,446012,446.012500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
72,446025,446.025000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
73,446037,446.037500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
74,446050,446.050000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
75,446062,446.062500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
76,446075,446.075000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
77,446087,446.087500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
78,446100,446.100000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
79,446112,446.112500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
80,446125,446.125000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
81,446137,446.137500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
82,446150,446.150000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
83,446162,446.162500,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
84,446175,446.175000,,0.000000,,88.5,88.5,023,NN,FM,6.25,,,,,,
